""	"AMR.Gene.Family"	"AMR1A"	"AMR1H"	"AMR2A"	"AMR3A"	"AMR3H"	"AMR4A"	"AMR5A"	"AMR5H"	"AMR6A"	"AMR7A"	"AMR7H"	"AMR9H"	"AMR10A"	"total"
"155"	"OXA beta-lactamase"	22.4859589356413	9.5254111061729	4.98276826473719	14.5082860032677	25.5063562057087	15.4465547085569	4.59066609039197	4.04213135068154	14.2238324494734	13.4190295261261	10.9356583448667	10.226236682383	6.79192120092816	156.684810868936
"245"	"nitroimidazole reductase"	2.83342015122098	3.36064819077433	5.75308404703847	3.03946157593692	28.7825151067196	9.05563973121165	3.56173366313242	2.16015988722034	6.15294742432289	5.04044575869401	7.73751398185466	3.98731811890906	4.35541431139128	85.8203019484266
"260"	"tetracycline inactivation enzyme"	7.57228141403707	1.66453149528157	4.17023263051428	5.0883617907446	7.6673465156534	3.52958580739855	1.88387325190299	2.46095945648721	7.69934129929159	1.94252906606652	6.61387376592253	2.17755047276286	3.83205966301446	56.3025266290776
"227"	"chloramphenicol acetyltransferase (CAT)"	3.77482740308019	3.63217576187101	4.83994105427623	2.45793582672476	9.07616765219203	3.32315196287351	5.62195009667618	1.88346085932902	3.56994641020552	5.6530252340569	6.2440973236671	2.39441848803514	1.399303249087	53.8704013220746
"252"	"streptogramin vgb lyase"	2.13086270062046	2.21986192246415	2.90024194139642	9.07622108197362	3.97622968660805	4.617859282607	2.92378967972092	3.97630666298376	5.23417136130497	2.49363959509933	4.06973728571799	5.34179468538311	3.42817467779497	52.3888905636747
"22"	"ANT(3'')"	2.13431787660628	1.73422074031624	1.68347776672823	3.07706472700488	6.48040263780615	1.91804550621606	2.84758422158251	2.14093043165125	3.11814425334741	1.08689661573984	1.7068507700478	2.51594613749114	3.80128899383911	34.2451706783769
"243"	"macrolide phosphotransferase (MPH)"	3.44562766687064	2.55346583656777	1.42144559675459	2.91501703342234	4.84618803377737	2.18058136807347	2.29712907492414	1.94321200714776	3.02315826016519	0.969127727031441	2.50734643299699	2.32165986461057	3.60421142339719	34.0281703257395
"13"	"ADC beta-lactamases pending classification for carbapenemase activity"	3.81496918955928	0.940076866169863	2.18366658886382	3.33403542624967	4.20879560653619	1.68560347853328	1.23455478845813	1.84083188738728	4.89231752569998	1.34786054858992	3.05165542212613	1.41513156856245	2.32882177822791	32.2783206749639
"80"	"CfiA beta-lactamase"	2.02806089369538	1.76247970158786	1.98940207040535	1.57363601291397	3.46822446450699	2.86908282216085	3.90337872627523	1.4624410157004	4.63544244445023	1.48537513219997	2.18703004634318	2.62939784507093	1.26726932630832	31.2612205016187
"141"	"MOX beta-lactamase"	1.5149721393506	1.55909523371083	2.06844362229883	1.18065955744814	5.92274177234887	3.25657872386686	1.68419326997719	0.610019637817157	2.25632855372632	1.75835186588138	2.91000124283153	1.59468083795694	1.23407747010862	27.5501439273233
